Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
BO-161-G1-006-31L-5,-29.55,1564.23,,Nemo-2023-BO-1,H3,plant stem tissue,13C,5.31,2031241,700415,H
BO-099-G2-006-31R-1,-29.32,952.21,,Nemo-2023-BO-1,H4,plant stem tissue,13C,3.36,2031242,700416,H
BO-115-G2-007-1L-5,-30.26,880.02,,Nemo-2023-BO-1,H5,plant stem tissue,13C,2.91,2031243,700417,H
BO-176-G2-007-1R-4,-30.08,1357.08,,Nemo-2023-BO-1,H6,plant stem tissue,13C,4.23,2031244,700418,H
BO-089-G2-007-2R-5,-29.93,1187.60,,Nemo-2023-BO-1,H7,plant stem tissue,13C,3.29,2031245,700419,H
BO-050-G1-007-5L-3,-29.46,340.19,,Nemo-2023-BO-1,H8,plant stem tissue,13C,0.85,2031246,700420,H
BO-116-G1-007-5R-1,-30.25,914.55,,Nemo-2023-BO-1,H9,plant stem tissue,13C,3.23,2031247,700421,H
BO-155-G1-007-6L-5,-29.83,1118.55,,Nemo-2023-BO-1,H10,plant stem tissue,13C,3.83,2031248,700422,H
BO-034-G2-007-8L-1,-29.68,933.38,,Nemo-2023-BO-1,H11,plant stem tissue,13C,3.01,2031249,700423,H
BO-043-G1-007-8R-2,-28.93,1065.20,,Nemo-2023-BO-1,H12,plant stem tissue,13C,3.77,2031250,700424,H
BO-048-G1-007-9L-5,-28.73,815.88,,Nemo-2023-BO-2,A1,plant stem tissue,13C,2.9,2031251,700451,H
BO-012-G1-007-10L-1,-27.98,646.79,,Nemo-2023-BO-2,A2,plant stem tissue,13C,2.52,2031252,700452,H
BO-164-G2-007-12L-1,-29.88,1288.01,,Nemo-2023-BO-2,A3,plant stem tissue,13C,3.64,2031253,700453,H
BO-150-G1-007-12R-4,-28.23,1364.80,,Nemo-2023-BO-2,A4,plant stem tissue,13C,3.97,2031254,700454,H
BO-126-G2-007-13L-3,-29.79,1095.87,,Nemo-2023-BO-2,A5,plant stem tissue,13C,3.42,2031255,700455,H
BO-050-G1-007-15L-4,-28.11,736.34,,Nemo-2023-BO-2,A6,plant stem tissue,13C,1.96,2031256,700456,H
BO-198-G1-007-15R-2,-29.60,1257.18,,Nemo-2023-BO-2,A7,plant stem tissue,13C,4,2031257,700457,H
BO-024-G1-007-19R-5,-27.95,936.03,,Nemo-2023-BO-2,A8,plant stem tissue,13C,3.57,2031258,700458,H
BO-053-G1-007-20L-5,-28.84,888.71,,Nemo-2023-BO-2,A9,plant stem tissue,13C,3.04,2031259,700459,H
BO-071-G2-007-20R-5,-30.15,1410.69,,Nemo-2023-BO-2,A10,plant stem tissue,13C,4.26,2031260,700460,H
BO-021-G2-007-21L-4,-29.74,1309.55,,Nemo-2023-BO-2,A11,plant stem tissue,13C,3.54,2031261,700461,H
BO-146-G1-007-26R-5,-29.49,774.57,,Nemo-2023-BO-2,A12,plant stem tissue,13C,2.47,2031262,700462,H
BO-157-G1-008-1R-4,-30.57,809.53,,Nemo-2023-BO-2,B1,plant stem tissue,13C,3.05,2031263,700469,H
BO-080-G2-008-2R-3,-27.94,556.76,,Nemo-2023-BO-2,B2,plant stem tissue,13C,2.01,2031264,700470,H
BO-121-G2-009-4R-4,-29.73,1095.87,,Nemo-2023-BO-2,D7,plant stem tissue,13C,3.26,2031293,700506,H
BO-134-G1-009-5R-1,-27.00,456.51,,Nemo-2023-BO-2,D8,plant stem tissue,13C,1.48,2031294,700507,H
BO-082-G1-009-6L-5,-28.74,701.22,,Nemo-2023-BO-2,D9,plant stem tissue,13C,2.25,2031295,700508,H
BO-176-G1-009-6R-5,-28.45,1123.91,,Nemo-2023-BO-2,D10,plant stem tissue,13C,2.91,2031296,700509,H
