Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G1,6,182,AC_159,AC_094,4,FALSE,AC-094-G1-006-3L,3L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_159,AC_094,5,FALSE,AC-094-G1-006-3L,3L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_169,AC_120,1,FALSE,AC-120-G1-006-3R,3R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,NA,34.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.298,2023-05-12,86.116,5.17,86.116,5.17,16.6568665377176,16.6568665377176,0.06003530122160806,0.06003530122160806,NA,NA,-30.48,4.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_169,AC_120,2,FALSE,AC-120-G1-006-3R,3R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.298,2023-05-12,NA,NA,86.116,5.17,16.6568665377176,NA,0.06003530122160806,NA,NA,NA,-30.48,4.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_169,AC_120,3,TRUE,AC-120-G1-006-3R,3R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,1900-01-03,NA,NA,34.84,34.84,7,1,17,43,8,2.428571429,19.42857143,2.080588235,23.298,2023-05-12,23.298,2023-05-12,NA,NA,86.116,5.17,16.6568665377176,NA,0.06003530122160806,NA,-30.48,4.2,-30.48,4.2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_169,AC_120,4,FALSE,AC-120-G1-006-3R,3R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.298,2023-05-12,NA,NA,86.116,5.17,16.6568665377176,NA,0.06003530122160806,NA,NA,NA,-30.48,4.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,182,AC_169,AC_120,5,FALSE,AC-120-G1-006-3R,3R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.298,2023-05-12,NA,NA,86.116,5.17,16.6568665377176,NA,0.06003530122160806,NA,NA,NA,-30.48,4.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,183,AC_216,AC_099,1,TRUE,AC-099-G1-006-4L,4L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,NA,4,0,9,33,4,2.25,9,1.08,18.77,2023-04-28,18.77,2023-04-28,NA,NA,35.09,1.88,18.66489361702128,NA,0.05357651752636078,NA,-31.15,5.08,-31.15,5.08,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,183,AC_216,AC_099,2,FALSE,AC-099-G1-006-4L,4L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.77,2023-04-28,NA,NA,35.09,1.88,18.66489361702128,NA,0.05357651752636078,NA,NA,NA,-31.15,5.08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,183,AC_216,AC_099,3,FALSE,AC-099-G1-006-4L,4L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.77,2023-04-28,NA,NA,35.09,1.88,18.66489361702128,NA,0.05357651752636078,NA,NA,NA,-31.15,5.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
