"","Year","Gen","Transect","Sequence","Donor","Recipient","Plant_ID","F_plant","sample_ID_SEG","sample_ID","SegPos","Sow_Date","Plant_Date","FFD","days_sow2flower","days_plant2flower","LFD","fl_duration","F_Num_01","F_Num_02","F_Num_03","skel_dryweight_mg","skel_dryweight_mg_SEG","closed_fruits","open_fruits","filled_seeds","total_seeds","total_fruits","mean_seeds_per_fruit","est_fecundity","msm_all","corolla_diam_mm","photo_date","corolla_diam_mm_SEG","photo_date_SEG","leaf_area_mm2","leaf_dryweight_mg","leaf_area_mm2_SEG","leaf_dryweight_mg_SEG","SLA_SEG","SLA","LMA_SEG","LMA","d13C","sample_weight_mg","d13C_SEG","sample_weight_mg_SEG","surv_to_flower","surv_to_fruitprod","prod_closed_fruits","prod_filled_seeds"
"1741",2023,"G2",6,175,"BO_106","BO_191",1,TRUE,"BO-191-G2-006-7L","BO-191-G2-006-7L-1","7L",2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,1,NA,NA,1.59,1.59,1,0,0,0,1,0,0,NA,19.733,2023-05-05,19.733,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"1742",2023,"G2",6,175,"BO_106","BO_191",2,FALSE,"BO-191-G2-006-7L","BO-191-G2-006-7L-2","7L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.733,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1743",2023,"G2",6,175,"BO_106","BO_191",3,FALSE,"BO-191-G2-006-7L","BO-191-G2-006-7L-3","7L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.733,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1744",2023,"G2",6,175,"BO_106","BO_191",4,FALSE,"BO-191-G2-006-7L","BO-191-G2-006-7L-4","7L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.733,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1745",2023,"G2",6,175,"BO_106","BO_191",5,FALSE,"BO-191-G2-006-7L","BO-191-G2-006-7L-5","7L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.733,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1746",2023,"G2",6,176,"BO_163","BO_072",1,TRUE,"BO-072-G2-006-8L","BO-072-G2-006-8L-1","8L",2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-01,41,0,NA,"0",4.24,4.24,2,0,3,3,2,1.5,3,1.876666667,25.457,2023-04-21,25.457,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,-28.16,0.97,-28.16,0.97,1,1,1,1
"1747",2023,"G2",6,176,"BO_163","BO_072",2,FALSE,"BO-072-G2-006-8L","BO-072-G2-006-8L-2","8L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.457,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.16,0.97,0,NA,NA,NA
"1748",2023,"G2",6,176,"BO_163","BO_072",3,FALSE,"BO-072-G2-006-8L","BO-072-G2-006-8L-3","8L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.457,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.16,0.97,0,NA,NA,NA
"1749",2023,"G2",6,176,"BO_163","BO_072",4,FALSE,"BO-072-G2-006-8L","BO-072-G2-006-8L-4","8L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.457,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.16,0.97,0,NA,NA,NA
"1750",2023,"G2",6,176,"BO_163","BO_072",5,FALSE,"BO-072-G2-006-8L","BO-072-G2-006-8L-5","8L",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.457,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.16,0.97,0,NA,NA,NA
"1751",2023,"G1",6,176,"BO_177","BO_121",1,FALSE,"BO-121-G1-006-8R","BO-121-G1-006-8R-1","8R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.808,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.82,4.39,0,NA,NA,NA
"1752",2023,"G1",6,176,"BO_177","BO_121",2,TRUE,"BO-121-G1-006-8R","BO-121-G1-006-8R-2","8R",2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,NA,2,NA,140.1,140.1,17,3,104,117,20,6.117647059,122.3529412,2.553777778,27.808,2023-04-21,27.808,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,-30.82,4.39,-30.82,4.39,1,1,1,1
"1753",2023,"G1",6,176,"BO_177","BO_121",3,FALSE,"BO-121-G1-006-8R","BO-121-G1-006-8R-3","8R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.808,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.82,4.39,0,NA,NA,NA
"1754",2023,"G1",6,176,"BO_177","BO_121",4,FALSE,"BO-121-G1-006-8R","BO-121-G1-006-8R-4","8R",2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,NA,NA,NA,140.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.808,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.82,4.39,1,NA,NA,NA
"1755",2023,"G1",6,176,"BO_177","BO_121",5,FALSE,"BO-121-G1-006-8R","BO-121-G1-006-8R-5","8R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.808,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.82,4.39,0,NA,NA,NA
"1756",2023,"G1",6,177,"BO_039","BO_087",1,FALSE,"BO-087-G1-006-9R","BO-087-G1-006-9R-1","9R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.235,2023-04-21,NA,NA,34.888,2.73,12.7794871794872,NA,0.0782504012841092,NA,NA,NA,-28.58,2.53,0,NA,NA,NA
"1757",2023,"G1",6,177,"BO_039","BO_087",2,FALSE,"BO-087-G1-006-9R","BO-087-G1-006-9R-2","9R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.235,2023-04-21,NA,NA,34.888,2.73,12.7794871794872,NA,0.0782504012841092,NA,NA,NA,-28.58,2.53,0,NA,NA,NA
"1758",2023,"G1",6,177,"BO_039","BO_087",3,FALSE,"BO-087-G1-006-9R","BO-087-G1-006-9R-3","9R",2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.235,2023-04-21,NA,NA,34.888,2.73,12.7794871794872,NA,0.0782504012841092,NA,NA,NA,-28.58,2.53,0,NA,NA,NA
