,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
6,G1,BO_069,BO_201,17L,2,40.279,145,,3.67,
6,G2,BO_198,BO_100,17R,,,,,,
6,G1,BO_151,BO_167,18L,,,,,,
6,G1,BO_001,BO_048,18R,2,19.916,127,,1.62,
6,G1,BO_199,BO_069,19L,3,30.59,168,,2.40,
6,G2,BO_001,BO_048,19R,,,,,,
6,G1,BO_073,BO_117,20L,,,,,,
6,G1,BO_185,BO_071,20R,,,,,,
6,G2,BO_163,BO_034,21L,,,,,,
6,G2,BO_101,BO_182,21R,,,,,,
6,G1,BO_013,BO_114,23L,,,,,,
6,G1,BO_088,BO_140,23R,4,38.059,140,,2.84,
6,G1,BO_185,BO_071,24L,,,,,,
6,G2,BO_188,BO_154,24R,,,,,,
6,G2,BO_199,BO_018,25L,,,,,,
6,G2,BO_192,BO_021,25R,3,88.732,144,,6.74,
6,G2,BO_029,BO_190,26L,,,,,,
6,G1,BO_001,BO_025,26R,,,,,,
6,G1,BO_130,BO_120,27L,1,39.22,154,,2.1,
6,G1,BO_040,BO_029,27R,1,22.742,154,,1.76,
6,G1,BO_073,BO_186,28L,,,,,,
6,G1,BO_022,BO_020,28R,,,,,,
6,G1,BO_022,BO_020,29L,,,,,,
6,G2,BO_189,BO_086,29R,,,,,,
6,G1,BO_005,BO_019,30L,4,15.692,156,,1.44,
6,G2,BO_149,BO_032,30R,,,,,,
6,G1,BO_130,BO_161,31L,4,11.93,141,,1.07,
6,G2,BO_033,BO_099,31R,5,23.137,149,,2.04,
7,G2,BO_065,BO_115,1L,4,90.5,133,,6.7,
7,G2,BO_005,BO_176,1R,,,,,,
7,G1,BO_022,BO_009,2L,,,,,,
7,G2,BO_162,BO_089,2R,5,75.548,171,,5.11,
7,G1,BO_185,BO_085,3L,5,31.524,171,,2.05,
7,G2,BO_153,BO_022,3R,,,,,,
7,G1,BO_029,BO_061,4L,,,,,,
7,G2,BO_096,BO_134,4R,,,,,,
7,G1,BO_088,BO_050,5L,,,,,,
7,G1,BO_183,BO_116,5R,5,71.673,157,,4.84,
7,G1,BO_168,BO_155,6L,,,,,,
7,G2,BO_189,BO_126,6R,,,,,,
7,G1,BO_033,BO_099,7L,2,40.338,150,,2.79,
7,G2,BO_032,BO_088,7R,,,,,,
7,G2,BO_163,BO_034,8L,,,,,,
7,G1,BO_069,BO_043,8R,2,17.697,162,,1.13,
7,G1,BO_001,BO_048,9L,,,,, ,
7,G1,BO_029,BO_061,9R,,,,,,
7,G1,BO_096,BO_012,10L,,,,,,
7,G1,BO_038,BO_137,10R,,,,,,
7,G1,BO_151,BO_148,11L,,,,,,
7,G1,BO_153,BO_157,11R,,,,,,
7,G2,BO_162,BO_164,12L,2,37.132,152,,2.28,
7,G1,BO_187,BO_150,12R,,,,,,
7,G2,BO_189,BO_126,13L,,,,,,
7,G1,BO_149,BO_185,13R,,,,,,
7,G2,BO_170,BO_045,14L,,,,,,
7,G2,BO_163,BO_034,14R,,,,,,
7,G1,BO_088,BO_050,15L,,,,,,
7,G1,BO_183,BO_198,15R,4,34.653,155,,1.85,
7,G1,BO_058,BO_094,16L,,,,,,
7,G1,BO_143,BO_152,16R,,,,,,
7,G1,BO_074,BO_047,17L,,,,,,
7,G1,BO_149,BO_185,17R,,,,,,
7,G2,BO_199,BO_018,18L,,,,,,
7,G1,BO_032,BO_088,18R,,,,,,
7,G1,BO_096,BO_134,19L,,,,,,
7,G1,BO_101,BO_024,19R,,,,,,
7,G1,BO_013,BO_053,20L,1,68.574,165,,4.67,
7,G2,BO_185,BO_071,20R,,,,,,
7,G2,BO_192,BO_021,21L,,,,,,
7,G1,BO_001,BO_048,21R,,,,,,
7,G2,BO_032,BO_132,22L,,,,,,
7,G1,BO_038,BO_149,22R,,,,,,
7,G1,BO_013,BO_114,23L,,,,,,
7,G1,BO_168,BO_155,23R,,,,,,
7,G2,BO_187,BO_135,24L,,,,,,
7,G2,BO_162,BO_164,24R,,,,,,
7,G2,BO_168,BO_155,25L,,,,,,
7,G1,BO_074,BO_118,25R,,,,,,
7,G2,BO_106,BO_191,26L,,,,,,
7,G1,BO_022,BO_146,26R,,,,,,
8,G2,BO_119,BO_017,1L,,,,,,
8,G1,BO_153,BO_157,1R,,,,,,
8,G1,BO_189,BO_126,2L,,,,,,
8,G2,BO_101,BO_080,2R,3,21.18,156,,1.4,
8,G2,BO_074,BO_027,3L,5,36.302,154,,2.66,
8,G1,BO_088,BO_050,3R,,,,,,
8,G2,BO_188,BO_008,4L,3,65.574,158,alt method due to overlapping leaves,5.63,
8,G1,BO_039,BO_087,4R,4,46.919,160,,4.55,
8,G1,BO_074,BO_027,5L,1,62.144,135,,4.74,
8,G2,BO_088,BO_169,5R,,,,,,
8,G1,BO_005,BO_122,6L,,,,,,
8,G1,BO_065,BO_115,6R,3,47.744,157,,4.91,
8,G2,BO_088,BO_169,7L,,,,,,
8,G1,BO_005,BO_122,7R,3,33.249,139,,4.48,
8,G2,BO_151,BO_056,8L,,,,,,
8,G2,BO_040,BO_171,8R,,,,,,
8,G1,BO_038,BO_082,9L,1,48.783,164,,3.07,
8,G1,BO_109,BO_028,9R,5,34.631,120,alt method,2.59,
8,G1,BO_088,BO_140,10L,,,,,,
8,G2,BO_173,BO_091,10R,,,,,,
8,G2,BO_029,BO_090,11L,2,21.046,154,,1.34,
8,G1,BO_199,BO_069,11R,,,,,,
8,G2,BO_013,BO_141,12L,,,,,,
8,G2,BO_029,BO_090,12R,5,54.15,136,,3.41,
8,G1,BO_162,BO_164,13L,1,35.901,158,,2.03,
8,G2,BO_013,BO_141,13R,,,,,,
8,G1,BO_101,BO_080,14L,,,,,,
8,G1,BO_128,BO_044,14R,3,81.976,170,alt method,5.76,
8,G2,BO_065,BO_078,15L,,,,,,
8,G1,BO_173,BO_079,15R,4,53.376,142,,3.03,
8,G1,BO_029,BO_090,16L,1,27.463,134,,1.47,
8,G1,BO_119,BO_051,16R,,,,,,
8,G1,BO_038,BO_149,17L,,,,,,
8,G2,BO_109,BO_001,17R,,,,,,
8,G2,BO_001,BO_048,18L,,,,,,
8,G1,BO_074,BO_027,18R,,,,,,
8,G1,BO_163,BO_072,19L,3,48.211,156,,3.18,
8,G2,BO_143,BO_152,19R,5,13.814,167,,0.99,
8,G1,BO_188,BO_008,20L,5,56.588,153,,4.67,
8,G2,BO_038,BO_137,20R,,,,,,
8,G1,BO_188,BO_008,21L,3,38.281,164,,3.18,
8,G1,BO_173,BO_091,21R,5,29.565,137,,2.45,
8,G1,BO_001,BO_025,22L,,,,,,
8,G2,BO_187,BO_135,22R,,,,,,
8,G2,BO_038,BO_149,23L,,,,,,
8,G2,BO_106,BO_191,23R,,,,,,
8,G2,BO_143,BO_152,24L,3,17.393,157,,0.98,
8,G1,BO_070,BO_066,24R,,,,,,
8,G2,BO_073,BO_070,25L,,,,,,
8,G1,BO_163,BO_144,25R,3,64.097,146,,4.03,
9,G2,BO_201,BO_130,1L,,,,,,
9,G2,BO_038,BO_149,1R,,,,,,
9,G1,BO_149,BO_032,2L,1,95.377,157,,6.92,
9,G1,BO_073,BO_117,2R,5,49.732,150,,3.36,
9,G1,BO_173,BO_079,3L,,,,,,
9,G1,BO_070,BO_046,3R,,,,,,
9,G1,BO_038,BO_137,4L,3,12.909,155,,0.88,
9,G2,BO_177,BO_121,4R,,,,,,
