`,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter  (mm),,
3,G2,HR_180,HR_179,34L,1,44.013,168,,2.16,,71.609,,
3,G1,HR_195,HR_104,34R,,,,,,,,,
3,G2,HR_164,HR_201,35L,5,28.217,152,,1.42,,49.983,,
3,G1,HR_175,HR_164,35R,3,36.573,160,,1.91,,68.761,,
3,G1,HR_057,HR_147,36L,4,72.84,159,,3.99,,111.558,,
3,G1,HR_006,HR_162,36R,2,60.247,180,,3.08,,93.872,,
3,G2,HR_062,HR_116,37L,2,20.756,161,,1.11,,44.947,,
3,G1,HR_131,HR_046,37R,4,40.802,158,,2.27,,68.87,,
3,G1,HR_088,HR_014,38L,4,32.951,172,,1.86,,59.853,,
3,G1,HR_095,HR_020,38R,1,52.029,164,,2.46,,81.481,,
3,G1,HR_057,HR_147,39L,,,,,1.86,,,missing picture,
3,G1,HR_110,HR_032,39R,1,40.796,172,,,,,,
3,G2,HR_160,HR_173,40L,2,44.209,151,,2.07,,81.303,,
3,G2,HR_027,HR_119,40R,1,39.499,154,,1.82,,58.887,,
3,G1,HR_059,HR_166,41L,,,,,,,,,
3,G1,HR_110,HR_037,41R,2,75.767,165,,3.22,,91.873,,
3,G1,HR_066,HR_078,42L,5,29.45,155,,1.68,,53.834,,
3,G2,HR_200,HR_153,42R,2,37.617,160,,1.67,,64.288,,
3,G2,HR_195,HR_068,43L,,,,,,,,,
3,G2,HR_180,HR_023,43R,,,,,,,,,
3,G2,HR_115,HR_026,44L,1,50.472,176,,2.23,,75.932,,
3,G1,HR_006,HR_142,44R,2,36.876,158,,1.7,,64.755,,
3,G2,HR_090,HR_126,45R,3,42.444,181,,2.02,,78.464,,
4,G2,HR_069,HR_108,1L,1,35.578,146,,2.34,,76.528,,
4,G2,HR_108,HR_177,1R,,,,,1.32,,,missing pciture,
4,G1,HR_095,HR_124,2L,,,,,,,,,
4,G1,HR_070,HR_165,2R,,,,,,,,,
4,G1,HR_064,HR_019,3L,2,14.905,174,,0.77,,40.376,,
4,G2,HR_070,HR_123,3R,3,29.215,134,,1.67,,48.568,,
4,G2,HR_064,HR_190,4L,2,27.079,175,,,,45.216,,
4,G1,HR_141,HR_015,4R,,,,,,,,,
4,G1,HR_164,HR_041,5L,5,57.88,174,,3.16,,96.495,,
4,G2,HR_100,HR_135,5R,3,56.421,162,,2.11,,79.613,,
4,G1,HR_057,HR_006,6L,2,30.897,180,,1.33,,52.591,,
4,G1,HR_141,HR_184,6R,,,,,,,,,
4,G1,HR_034,HR_017,7L,1,35.163,165,,1.43,,64.309,,
4,G1,HR_121,HR_141,7R,,,,,,,,,
4,G1,HR_147,HR_150,8L,2,13.21,161,,0.54,,32.778,,
4,G2,HR_006,HR_146,8R,,,,,,,,,
4,G2,HR_195,HR_181,9L,1,51.552,158,,2.58,,95.49,,
4,G2,HR_196,HR_183,9R,5,15.421,177,,0.86,,40.147,,
4,G1,HR_149,HR_174,10L,1,44.089,173,leaf folded over,2.5,,88.253,,
4,G1,HR_133,HR_072,10R,,,,,,,,,
4,G2,HR_066,HR_137,11L,3,25.814,169,,1.34,,39.856,,
4,G2,HR_002,HR_056,11R,,,,,,,,,
4,G2,HR_155,HR_009,12L,2,22.386,160,,1.12,,53.229,,
4,G2,HR_066,HR_078,12R,2,21.102,173,,1.16,,47.267,,
4,G1,HR_200,HR_159,13L,3,29.151,165,,1.4,,65.565,,
4,G1,HR_059,HR_166,13R,,,,,,,,,
4,G1,HR_008,HR_042,14L,,,,,,,,,
4,G1,HR_131,HR_046,14R,4,10.057,157,,0.54,,33.605,,
4,G2,HR_157,HR_088,15L,5,32.859,159,,1.63,,69.619,,
4,G1,HR_100,HR_192,15R,,,,,,,,,
4,G2,HR_196,HR_170,16R,,,,,,,,,
4,G2,HR_171,HR_001,17L,5,14.697,123,,0.93,,33.942,,
4,G1,HR_147,HR_118,17R,1,22.92,133,,1.28,,47.897,,
4,G1,HR_168,HR_064,18L,2,22.235,140,,1.01,,48.025,,
4,G1,HR_139,HR_127,18R,2,24.393,159,,1.15,,56.706,,
4,G2,HR_108,HR_177,19L,3,29.366,164,,1.5,,60.06,,
4,G2,HR_108,HR_016,19R,3,10.306,177,,0.43,,29.163,,
4,G2,HR_171,HR_073,20L,4,35.151,181,,1.56,,67.194,,
4,G1,HR_100,HR_192,20R,1,13.604,168,,0.72,,36.995,,
4,G2,HR_133,HR_158,21L,1,16.577,162,,1.06,,40.615,,
4,G1,HR_034,HR_112,21R,4,30.931,157,,1.3,,52.088,,
4,G2,HR_005,HR_180,22L,4,22.875,170,,1.06,,45.173,,
4,G2,HR_027,HR_043,22R,2,27.218,140,,1.63,,52.731,,
4,G2,HR_164,HR_201,23L,1,17.24,139,,0.87,,44.849,,
4,G1,HR_157,HR_088,23R,5,19.317,150,,0.89,,48.5,,
4,G2,HR_006,HR_162,24L,3,19.347,174,,0.97,,38.131,,
4,G2,HR_110,HR_039,24R,3,42.671,165,,1.7,,70.197,,
4,G1,HR_002,HR_056,25L,3,23.385,151,,1.15,,47.418,,
4,G1,HR_095,HR_124,25R,1,22.265,139,,1.48,,44.46,,
4,G2,HR_057,HR_110,26L,4,38.825,140,,1.61,,70.514,,
4,G2,HR_110,HR_039,26R,2,24.204,130,,1.19,,42.043,,
4,G2,HR_062,HR_134,27L,4,44.97,135,,2.79,,69.763,,
4,G2,HR_070,HR_123,27R,1,44.071,135,,2.32,,72.487,,
4,G1,HR_148,HR_050,28L,4,34.893,165,,1.35,,66.185,,
4,G2,HR_175,HR_164,28R,5,23.697,177,,1.21,,48.026,,
4,G1,HR_053,HR_038,29L,1,29.333,160,,1.77,,61.086,,
4,G1,HR_180,HR_023,29R,4,17.848,155,,0.82,,32.799,,
4,G2,HR_085,HR_107,30L,2,24.176,154,,1.11,,50.298,,
4,G1,HR_195,HR_181,30R,,,,,,,,,
4,G1,HR_148,HR_050,31L,3,28.811,127,,1.37,,58.019,,
4,G2,HR_139,HR_062,31R,2,22.392,134,,1.12,,50.545,,
4,G1,HR_149,HR_007,32L,3,30.801,151,,1.73,,64.121,,
4,G1,HR_008,HR_042,32R,5,57.005,176,,2.65,,77.694,,
4,G1,HR_189,HR_018,33L,,,,,,,,,
4,G1,HR_164,HR_005,33R,2,11.984,154,,0.63,,31.481,,
4,G2,HR_155,HR_009,34L,2,48.19,150,,2.16,,77.25,,
4,G2,HR_160,HR_033,34R,5,10.748,182,,0.44,,28.336,,
4,G2,HR_195,HR_181,35L,3,50.842,174,,2.28,,77.142,,
4,G1,HR_088,HR_182,35R,4,34.124,172,,1.56,,68.624,,
4,G2,HR_135,HR_083,36L,4,24.123,147,,1.08,,43.57,,
4,G2,HR_074,HR_115,36R,1,30.939,166,,1.22,,55.126,,
4,G1,HR_108,HR_016,37L,,,,,,,,,
4,G2,HR_148,HR_114,37R,5,21.721,148,,1.07,,46.854,,
4,G2,HR_074,HR_070,38L,,,,,,,,,
4,G2,HR_131,HR_113,38R,1,25.028,132,,1.23,,54.476,,
4,G1,HR_027,HR_043,39L,,,,,,,,,
4,G1,HR_147,HR_021,39R,,,,,,,,,
4,G2,HR_034,HR_017,40L,2,27.263,180,,1.24,,56.573,,
4,G2,HR_005,HR_149,40R,,,,,,,,,
4,G2,HR_160,HR_079,41L,,,,,,,,,
4,G2,HR_006,HR_142,41R,,,,,,,,,
4,G2,HR_157,HR_085,42L,,,,,,,,,
4,G2,HR_156,HR_025,42R,,,,,,,,,
