Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,7,AC_124,AC_030,5,FALSE,7L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.713,2023-04-28,7.648,0.56,13.657142857142855,-32.26,1.58,0,NA,NA,NA
2023,G2,1,7,AC_045,AC_151,1,TRUE,7R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,NA,2023-04-28,NA,2,NA,50.18,X,10,2,25,28,12,2.5,30,2.572166667,17.346,2023-04-28,52.991,2.95,17.963050847457627,-32.24,5.23,1,1,1,1
2023,G2,1,7,AC_045,AC_151,2,FALSE,7R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.346,2023-04-28,52.991,2.95,17.963050847457627,-32.24,5.23,1,NA,NA,NA
2023,G2,1,7,AC_045,AC_151,3,FALSE,7R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.346,2023-04-28,52.991,2.95,17.963050847457627,-32.24,5.23,0,NA,NA,NA
2023,G2,1,7,AC_045,AC_151,4,FALSE,7R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.346,2023-04-28,52.991,2.95,17.963050847457627,-32.24,5.23,0,NA,NA,NA
2023,G2,1,7,AC_045,AC_151,5,FALSE,7R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.346,2023-04-28,52.991,2.95,17.963050847457627,-32.24,5.23,0,NA,NA,NA
2023,G1,1,8,AC_007,AC_147,1,FALSE,8R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.024,4.37,15.566132723112128,-32.28,5.15,0,NA,NA,NA
2023,G2,1,8,AC_007,AC_147,1,TRUE,8L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-04-28,NA,NA,NA,NA,X,9,2,21,42,11,2.333333333,25.66666667,1.386666667,19.808,2023-04-28,77.409,5.28,14.660795454545456,-32.17,3,1,1,1,1
2023,G1,1,8,AC_007,AC_147,2,TRUE,8R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-05-12,NA,NA,NA,NA,-,8,2,18,49,10,2.25,22.5,1.609625,NA,NA,68.024,4.37,15.566132723112128,-32.28,5.15,1,1,1,1
2023,G2,1,8,AC_007,AC_147,2,FALSE,8L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.808,2023-04-28,77.409,5.28,14.660795454545456,-32.17,3,1,NA,NA,NA
2023,G1,1,8,AC_007,AC_147,3,FALSE,8R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.024,4.37,15.566132723112128,-32.28,5.15,1,NA,NA,NA
2023,G2,1,8,AC_007,AC_147,3,FALSE,8L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.808,2023-04-28,77.409,5.28,14.660795454545456,-32.17,3,1,NA,NA,NA
2023,G1,1,8,AC_007,AC_147,4,FALSE,8R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-05-12,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.024,4.37,15.566132723112128,-32.28,5.15,1,NA,NA,NA
2023,G2,1,8,AC_007,AC_147,4,FALSE,8L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.808,2023-04-28,77.409,5.28,14.660795454545456,-32.17,3,1,NA,NA,NA
2023,G1,1,8,AC_007,AC_147,5,FALSE,8R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.024,4.37,15.566132723112128,-32.28,5.15,1,NA,NA,NA
