Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,5,HR_062,HR_134,3,FALSE,5R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,42.306,2.28,18.555263157894736,-30.89,4.2,1,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,4,TRUE,5R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,2024-04-20,NA,NA,NA,17.82,-,6,0,9,13,6,1.5,9,2.619166667,21.495,2024-04-05,42.306,2.28,18.555263157894736,-30.89,4.2,1,1,1,1
2023,G1,1,5,HR_062,HR_134,5,FALSE,5R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-05-04,29,NA,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.495,2024-04-05,42.306,2.28,18.555263157894736,-30.89,4.2,1,NA,NA,NA
2023,G1,1,5,HR_006,HR_162,1,FALSE,5L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.079,2024-04-20,37.152,2.03,18.30147783251232,NA,NA,0,NA,NA,NA
2023,G1,1,5,HR_006,HR_162,2,TRUE,5L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,2024-04-20,NA,NA,NA,NA,-,2,0,5,6,2,2.5,5,2.084166667,22.079,2024-04-20,37.152,2.03,18.30147783251232,NA,NA,1,1,1,1
2023,G1,1,5,HR_006,HR_162,3,FALSE,5L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.079,2024-04-20,37.152,2.03,18.30147783251232,NA,NA,0,NA,NA,NA
2023,G1,1,5,HR_006,HR_162,4,FALSE,5L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.079,2024-04-20,37.152,2.03,18.30147783251232,NA,NA,0,NA,NA,NA
2023,G1,1,5,HR_006,HR_162,5,FALSE,5L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.079,2024-04-20,37.152,2.03,18.30147783251232,NA,NA,1,NA,NA,NA
2023,G2,1,6,HR_164,HR_041,1,TRUE,6L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,2024-04-05,NA,NA,NA,4.33,X,0,0,0,0,0,NA,0,NA,22.048,2024-04-05,43.521,2.24,19.429017857142856,NA,NA,1,0,0,0
2023,G2,1,6,HR_164,HR_041,2,FALSE,6L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.048,2024-04-05,43.521,2.24,19.429017857142856,NA,NA,0,NA,NA,NA
2023,G2,1,6,HR_164,HR_041,3,FALSE,6L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.048,2024-04-05,43.521,2.24,19.429017857142856,NA,NA,0,NA,NA,NA
2023,G2,1,6,HR_164,HR_041,4,FALSE,6L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.048,2024-04-05,43.521,2.24,19.429017857142856,NA,NA,1,NA,NA,NA
2023,G2,1,6,HR_164,HR_041,5,FALSE,6L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.048,2024-04-05,43.521,2.24,19.429017857142856,NA,NA,1,NA,NA,NA
2023,G2,1,6,HR_095,HR_124,1,FALSE,6R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.917,2.52,22.189285714285713,-30.31,4.78,0,NA,NA,NA
2023,G2,1,6,HR_095,HR_124,2,FALSE,6R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.917,2.52,22.189285714285713,-30.31,4.78,0,NA,NA,NA
2023,G2,1,6,HR_095,HR_124,3,TRUE,6R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,2024-04-05,NA,NA,NA,34.95,X,11,0,21,28,11,1.909090909,21,3.868,NA,NA,55.917,2.52,22.189285714285713,-30.31,4.78,1,1,1,1
2023,G2,1,6,HR_095,HR_124,4,FALSE,6R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.917,2.52,22.189285714285713,-30.31,4.78,1,NA,NA,NA
2023,G2,1,6,HR_095,HR_124,5,FALSE,6R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.917,2.52,22.189285714285713,-30.31,4.78,0,NA,NA,NA
2023,G1,1,7,HR_006,HR_162,1,FALSE,7L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2023,G1,1,7,HR_006,HR_162,2,FALSE,7L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2023,G1,1,7,HR_006,HR_162,3,FALSE,7L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2023,G1,1,7,HR_006,HR_162,4,FALSE,7L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2023,G1,1,7,HR_006,HR_162,5,TRUE,7L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,2024-04-05,NA,NA,NA,NA,-,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2023,G1,1,7,HR_180,HR_179,1,FALSE,7R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.794,2024-04-05,NA,NA,NA,-30.81,2.21,0,NA,NA,NA
2023,G1,1,7,HR_180,HR_179,2,FALSE,7R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.794,2024-04-05,NA,NA,NA,-30.81,2.21,1,NA,NA,NA
2023,G1,1,7,HR_180,HR_179,3,TRUE,7R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,NA,6.13,-,1,1,2,2,2,2,4,2.035,25.794,2024-04-05,NA,NA,NA,-30.81,2.21,1,1,1,1
2023,G1,1,7,HR_180,HR_179,4,FALSE,7R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-05,0,NA,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.794,2024-04-05,NA,NA,NA,-30.81,2.21,1,NA,NA,NA
2023,G1,1,7,HR_180,HR_179,5,FALSE,7R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.794,2024-04-05,NA,NA,NA,-30.81,2.21,1,NA,NA,NA
2023,G1,1,8,HR_164,HR_005,1,TRUE,8R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,2024-04-05,NA,NA,NA,7.9,-,2,1,1,4,3,0.5,1.5,4.99,21.442,2024-04-05,NA,NA,NA,-31.37,4.08,1,1,1,1
2023,G1,1,8,HR_164,HR_005,2,FALSE,8R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.442,2024-04-05,NA,NA,NA,-31.37,4.08,0,NA,NA,NA
2023,G1,1,8,HR_164,HR_005,3,FALSE,8R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.442,2024-04-05,NA,NA,NA,-31.37,4.08,0,NA,NA,NA
2023,G1,1,8,HR_164,HR_005,4,FALSE,8R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.442,2024-04-05,NA,NA,NA,-31.37,4.08,0,NA,NA,NA
2023,G1,1,8,HR_164,HR_005,5,FALSE,8R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.442,2024-04-05,NA,NA,NA,-31.37,4.08,1,NA,NA,NA
2023,G1,1,8,HR_175,HR_196,1,FALSE,8L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.547,2024-04-05,27.981,1.62,17.272222222222222,-30.93,1.61,1,NA,NA,NA
