ID	Block	Pop	CrossPop	SurvWin1	ReprS1	TotFr1	Seed1	Samp1	FruitSeed1	FruitSeedcr1	FruitSeedR1	SurvWin2	ReprS2	TotFr2	Seed2	Samp2	FruitSeed2	FruitSeedcr2	FruitSeedR2	SurvWin3	ReprS3	TotFr3	Seed3	Samp3	FruitSeed3	FruitSeedcr3	FruitSeedR3
682	S6	D	DB	1	1	8	5	3	13.33333333	2.371262203	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
684	S6	D	DA 	1	1	19	17	3	107.6666667	4.757298721	108	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
685	S6	B	B	1	1	9	9	3	27	3	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
686	S6	D	DB	1	1	24	19	3	152	5.336803297	152	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
687	S6	D	DB	1	1	29	9	3	87	4.431047622	87	1	1	4	2	3	2.666666667	1.386722549	3	1	1	13	2	3	8.666666667	2.054080049	9
688	S6	C 	CB	1	1	6	54	3	108	4.762203156	108	1	0	0	0	0	0	0	0	1	1	9	1	3	3	1.44224957	3
691	S6	B	B	1	1	30	18	3	180	5.646216173	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
692	S6	A	A	1	1	11	38	3	139.3333333	5.18423893	139	1	0	0	0	0	0	0	0	1	1	13	49	3	212.3333333	5.965855443	212
693	S6	D	DA 	1	1	28	4	3	37.33333333	3.342198623	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
696	S6	D	DB	1	1	29	19	3	183.6666667	5.684297262	184	1	0	0	0	2	0	0	0	1	1	9	2	3	6	1.817120593	6
697	S6	D	DA 	1	1	10	9	3	30	3.107232506	30	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
698	S6	D	DA 	1	1	13	6	3	26	2.962496068	26	1	1	13	12	3	52	3.732511157	52	1	1	11	2	3	7.333333333	1.942825561	7
699	S6	C 	CA	1	1	24	18	3	144	5.241482788	144	1	0	0	0	3	0	0	0	1	1	13	4	3	17.33333333	2.587978692	17
701	S6	D	DB	1	1	8	51	3	136	5.142563181	136	1	0	0	0	0	0	0	0	1	1	3	2	3	2	1.25992105	2
703	S6	C 	CB	1	1	17	15	3	85	4.396829672	85	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
706	S6	C 	CA	1	1	21	14	3	98	4.610436292	98	1	0	0	0	0	0	0	0	1	1	15	5	3	25	2.924017738	25
708	S6	C 	CB	1	1	49	18	3	294	6.649399761	294	1	1	20	9	3	60	3.914867641	60	1	1	17	8	3	45.33333333	3.565654161	45
712	S6	D	DA 	1	1	24	10	3	80	4.30886938	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
714	S6	D	DB	1	1	24	28	3	224	6.073177944	224	1	1	7	10	3	23.33333333	2.857539627	23	1	1	14	2	3	9.333333333	2.105453199	9
715	S6	C 	CB	1	1	9	21	3	63	3.979057208	63	1	0	0	0	2	0	0	0	1	1	5	4	3	6.666666667	1.882072058	7
716	S6	D	DB	1	1	12	3	3	12	2.289428485	12	1	1	2	2	1	4	1.587401052	4	1	0	0	0	0	0	0	0
717	S6	D	DA 	1	1	4	17	3	22.66666667	2.830061583	23	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
718	S6	D	DB	1	1	13	12	3	52	3.732511157	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
720	S6	D	DA 	1	1	16	20	3	106.6666667	4.742524406	107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
721	S6	D	DB	1	1	28	24	3	224	6.073177944	224	1	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0
722	S6	D	DB	1	1	24	14	3	112	4.820284528	112	1	1	1	1	1	1	1	1	1	1	14	6	3	28	3.036588972	28
723	S6	C 	CB	1	1	12	23	3	92	4.514357435	92	1	1	6	4	3	8	2	8	1	1	5	2	3	3.333333333	1.493801582	3
724	S6	D	DA 	1	1	21	12	3	84	4.37951914	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
725	S6	D	DA 	1	1	49	30	3	490	7.883735163	490	1	1	17	6	3	34	3.239611801	34	1	1	20	15	3	100	4.641588834	100
727	S6	D	DB	1	1	8	9	3	24	2.884499141	24	1	0	0	0	0	0	0	0	1	1	5	6	3	10	2.15443469	10
728	S6	A	A	1	1	4	4	3	5.333333333	1.747160929	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
730	S6	D	DA 	1	1	17	27	3	153	5.348481241	153	1	1	4	26	3	34.66666667	3.260648831	35	1	1	10	19	3	63.33333333	3.986062605	63
731	S6	D	DA 	1	1	5	15	3	25	2.924017738	25	1	0	0	0	0	0	0	0	1	1	6	22	3	44	3.530348335	44
732	S6	D	DB	1	1	9	19	3	57	3.848501131	57	1	0	0	0	0	0	0	0	1	1	2	2	1	4	1.587401052	4
734	S6	A	A	1	1	2	25	2	25	2.924017738	25	1	1	3	12	2	18	2.620741394	18	1	0	0	0	0	0	0	0
735	S6	D	DB	1	1	6	20	3	40	3.419951893	40	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
737	S6	D	DA 	1	1	54	10	3	180	5.646216173	180	1	0	0	0	0	0	0	0	1	1	17	6	3	34	3.239611801	34
739	S6	B	B	1	1	35	24	3	280	6.54213262	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
742	S6	D	DB	1	1	10	8	3	26.66666667	2.987603164	27	1	0	0	0	1	0	0	0	1	1	7	10	3	23.33333333	2.857539627	23
743	S6	D	DA 	1	1	39	16	3	208	5.924992137	208	1	1	30	3	3	30	3.107232506	30	1	1	26	4	3	34.66666667	3.260648831	35
745	S6	C	CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
746	S6	D	DA 	1	1	12	24	3	96	4.57885697	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
749	S6	D	DB	1	1	6	22	3	44	3.530348335	44	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
750	S6	C 	CB	1	1	3	29	3	29	3.072316826	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
751	S6	C 	CB	1	1	42	18	3	252	6.316359598	252	1	1	12	5	3	20	2.714417617	20	1	1	28	5	3	46.66666667	3.600274328	47
752	S6	D	DB	1	1	15	7	3	35	3.27106631	35	1	0	0	0	0	0	0	0	1	1	7	9	3	21	2.758924176	21
753	S6	D	DB	1	1	17	16	3	90.66666667	4.492442734	91	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
754	S6	D	DA 	1	1	40	41	3	546.6666667	8.17662721	547	1	1	4	3	3	4	1.587401052	4	1	1	29	5	3	48.33333333	3.642634382	48
755	S6	D	DA 	1	1	18	9	3	54	3.77976315	54	1	0	0	0	1	0	0	0	1	1	12	9	3	36	3.301927249	36
756	S6	A	A	1	1	6	32	3	64	4	64	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
757	S6	C 	CA	1	1	17	27	3	153	5.348481241	153	1	0	0	0	0	0	0	0	1	1	7	30	3	70	4.1212853	70
758	S6	C 	CB	1	1	6	3	2	9	2.080083823	9	1	0	0	0	2	0	0	0	1	1	9	1	3	3	1.44224957	3
760	S6	C 	CB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
761	S6	A	A	1	1	7	23	3	53.66666667	3.771969802	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
762	S6	D	DB	1	1	9	28	3	84	4.37951914	84	1	1	3	1	1	3	1.44224957	3	0	0	0	0	0	0	0	0
763	S6	A	A	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
764	S6	A	A	1	1	4	22	3	29.33333333	3.084043339	29	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
765	S6	B	B	1	1	8	15	3	40	3.419951893	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
766	S6	B	B	1	1	31	22	3	227.3333333	6.103154628	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
768	S6	C 	CA	1	1	53	6	3	106	4.732623491	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
769	S6	D	DA 	1	1	11	11	3	40.33333333	3.429425493	40	1	1	4	12	3	16	2.5198421	16	1	1	7	2	3	4.666666667	1.671099312	5
772	S6	C 	CA	1	1	42	32	3	448	7.651724731	448	1	1	25	1	3	8.333333333	2.027400665	8	1	1	26	8	3	69.33333333	4.108160098	69
773	S6	A	A	1	1	5	52	3	86.66666667	4.425381314	87	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
774	S6	D	DB	1	1	7	22	3	51.33333333	3.716491598	51	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
775	S6	C 	CB	1	1	8	13	3	34.66666667	3.260648831	35	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
776	S6	A	A	1	1	6	44	3	88	4.447960181	88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
778	S6	C 	CA	1	1	2	14	2	14	2.410142264	14	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
780	S6	D	DB	1	1	14	28	3	130.6666667	5.074441741	131	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
781	S6	B	B	1	1	30	5	3	50	3.684031499	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
782	S6	D	DA 	1	1	48	20	3	320	6.839903787	320	1	1	6	1	3	2	1.25992105	2	1	1	27	2	3	18	2.620741394	18
783	S6	D	DB	1	1	16	28	3	149.3333333	5.30540961	149	1	1	5	16	3	26.66666667	2.987603164	27	1	0	0	0	3	0	0	0
784	S6	B	B	1	1	11	26	3	95.33333333	4.568233134	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
785	S6	D	DA 	1	1	34	23	3	260.6666667	6.387954775	261	1	0	0	0	0	0	0	0	1	1	18	2	3	12	2.289428485	12
786	S6	C 	CA	1	1	34	14	3	158.6666667	5.413713052	159	1	0	0	0	3	0	0	0	1	1	22	4	3	29.33333333	3.084043339	29
787	S6	D	DB	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	1	2	1.5	1.144714243	2
788	S6	C 	CA	1	1	41	11	3	150.3333333	5.317225706	150	1	0	0	0	0	0	0	0	1	1	17	3	3	17	2.571281591	17
789	S6	B	B	1	1	11	15	3	55	3.802952461	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
790	S6	C 	CB	1	1	7	15	3	35	3.27106631	35	1	1	2	1	1	2	1.25992105	2	1	1	5	2	2	5	1.709975947	5
791	S6	B	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
